iter	RMSE
0	21.6769348
1	21.43900584
2	21.2058145
3	20.96726922
4	20.75901367
5	20.55885557
6	20.36306659
7	20.15800415
8	19.9511624
9	19.77364504
10	19.59002791
11	19.40610489
12	19.22432711
13	19.07521657
14	18.92286299
15	18.75552179
16	18.59718854
17	18.44698564
18	18.28411895
19	18.12847323
20	17.97804254
21	17.82787455
22	17.68138835
23	17.50791171
24	17.35968702
25	17.23334894
26	17.08696195
27	16.96233932
28	16.83776185
29	16.75429205
30	16.6231311
31	16.492042
32	16.36499997
33	16.23646802
34	16.11749262
35	16.00310054
36	15.88827794
37	15.78522575
38	15.67205396
39	15.58607051
40	15.48360176
41	15.37553526
42	15.27537911
43	15.17570372
44	15.07432905
45	14.98543516
46	14.89633371
47	14.80131091
48	14.72169174
49	14.62564776
50	14.55115429
51	14.46596731
52	14.37931457
53	14.30392436
54	14.22021279
55	14.14521596
56	14.08102559
57	13.99950662
58	13.94638782
59	13.8662246
60	13.79923376
61	13.72785318
62	13.6609146
63	13.60154099
64	13.5415398
65	13.47792133
66	13.4091542
67	13.35080642
68	13.28924607
69	13.22914945
70	13.16652429
71	13.10647354
72	13.05161141
73	13.00872355
74	12.953506
75	12.90123224
76	12.85898074
77	12.80299889
78	12.74498824
79	12.68544917
80	12.63615536
81	12.58302128
82	12.53163221
83	12.48580969
84	12.44307498
85	12.38945502
86	12.33967156
87	12.29128699
88	12.24800213
89	12.21897393
90	12.18602671
91	12.1438248
92	12.10604174
93	12.06765765
94	12.02473758
95	11.98186676
96	11.94315531
97	11.90374648
98	11.87662888
99	11.84535728
100	11.81154851
101	11.77808598
102	11.73842189
103	11.71451379
104	11.68244372
105	11.65046544
106	11.62141535
107	11.58950382
108	11.55807524
109	11.52376393
110	11.49189827
111	11.46488785
112	11.43470726
113	11.40145355
114	11.37018572
115	11.34516737
116	11.31956811
117	11.29025195
118	11.25957204
119	11.23678585
120	11.21054432
121	11.18082106
122	11.15759241
123	11.13406292
124	11.11789322
125	11.0948163
126	11.07195759
127	11.04579561
128	11.02380697
129	10.99695788
130	10.97710464
131	10.95504882
132	10.93649688
133	10.91575334
134	10.89131461
135	10.870551
136	10.85129178
137	10.82693977
138	10.80269928
139	10.77810204
140	10.75856946
141	10.74358864
142	10.71942843
143	10.70395389
144	10.68543721
145	10.66830787
146	10.65270317
147	10.63556208
148	10.61856815
149	10.5947629
150	10.57492064
151	10.55982463
152	10.54266499
153	10.51984608
154	10.50609759
155	10.4867343
156	10.47084774
157	10.45694251
158	10.43848645
159	10.4206838
160	10.40227955
161	10.38515584
162	10.36968813
163	10.35197393
164	10.3319082
165	10.31834186
166	10.30724993
167	10.29274404
168	10.27687093
169	10.26246558
170	10.24095659
171	10.2299752
172	10.21729554
173	10.20441388
174	10.19583827
175	10.18396408
176	10.17210244
177	10.15932439
178	10.14459128
179	10.12750082
180	10.11505882
181	10.10299488
182	10.09388541
183	10.08783132
184	10.07610269
185	10.06159763
186	10.04514596
187	10.0338777
188	10.01789615
189	10.00547647
190	9.994422402
191	9.985719776
192	9.977372227
193	9.967015092
194	9.954041649
195	9.940831461
196	9.930366415
197	9.920768332
198	9.90950371
199	9.893799912
200	9.884609764
201	9.874608569
202	9.864572833
203	9.853050643
204	9.8432471
205	9.83004617
206	9.818385628
207	9.805368319
208	9.794523294
209	9.784951539
210	9.770481188
211	9.757924716
212	9.755769458
213	9.746278966
214	9.735210035
215	9.719325487
216	9.71207631
217	9.703131718
218	9.687988201
219	9.678787908
220	9.67092482
221	9.661718181
222	9.652453569
223	9.645676293
224	9.63514146
225	9.626140168
226	9.617957651
227	9.610376606
228	9.598782829
229	9.590246864
230	9.581688935
231	9.573781388
232	9.564195115
233	9.556978776
234	9.544147532
235	9.53570252
236	9.526229709
237	9.518580392
238	9.510934466
239	9.502198836
240	9.49374672
241	9.48371577
242	9.474289032
243	9.464684853
244	9.458684574
245	9.449237387
246	9.437911156
247	9.428357464
248	9.418787248
249	9.41297418
250	9.401467582
251	9.394853731
252	9.387791355
253	9.379552182
254	9.376197717
255	9.367086185
256	9.358257409
257	9.348138258
258	9.337913043
259	9.328855329
260	9.322100893
261	9.316923624
262	9.308441978
263	9.297626996
264	9.294173186
265	9.286148981
266	9.278557135
267	9.27177286
268	9.259741951
269	9.253409954
270	9.244831108
271	9.236146058
272	9.225366537
273	9.209935444
274	9.200392044
275	9.193482456
276	9.189751535
277	9.178430973
278	9.172542529
279	9.164833504
280	9.156924762
281	9.14888473
282	9.137557933
283	9.130937134
284	9.125196373
285	9.119126082
286	9.111406508
287	9.106448681
288	9.099161696
289	9.094943417
290	9.086096525
291	9.076768686
292	9.06459332
293	9.059610466
294	9.050789043
295	9.044655971
296	9.037201087
297	9.029943563
298	9.021804305
299	9.018040642
